omitted,SQpos,SQpos_p,SQneg,H_conduct,H_ambience,H_development
Brazil,-0.0005657558046761044,0.9075120750382751,-0.04074011829359211,0.041554920432295646,0.04575950071103583,0.02305451728334488
China,-0.000702870543032923,0.8648468858305568,-0.039716946575739216,0.03469172511910817,0.04871487264732668,0.02330768402532899
Egypt,-0.0018079576093370977,0.6651837937921395,-0.04289260119021828,0.03538891556245899,0.04676648004777243,0.024252824361138153
Ethiopia,-0.0004421682724627921,0.9142315025219239,-0.03946053407946344,0.03440608282849592,0.048684667358120985,0.02435376048049049
India,-0.0005622589503851115,0.9043417289062932,-0.04283999092109577,0.03154789924099824,0.04649281419281333,0.01864707733272132
Iran,-0.0005423261274636395,0.8959256215224773,-0.04034917293359183,0.03450550011503748,0.04936426849535599,0.022086744829893097
Russia,-0.00012207646494007785,0.9772298848153708,-0.0373034164528226,0.03653406743609943,0.04856952268888485,0.021796070663038743
Saudi Arabia,-0.00018198863589346184,0.966702114855163,-0.042306021056121634,0.03458396688600242,0.04856286392515872,0.023700091628420808
South Africa,0.002969811735371889,0.48667532659981033,-0.040211550528318006,0.033392924431889064,0.048108623063299036,0.023281003043432013
United Arab Emirates,-0.000777444103743522,0.8610654286470449,-0.0391582678002483,0.0334759972018393,0.0527803200156238,0.026233878321719365
